Date,Opening Price,Maximum Price,Minimum Price,Closing Price
26.09.2018,114740,114740,114720,114720
26.09.2018,114720,114730,114680,114680
26.09.2018,114690,114700,114580,114660
26.09.2018,114680,114690,114650,114690
26.09.2018,114690,114720,114660,114670
26.09.2018,114670,114690,114650,114680
26.09.2018,114690,114720,114670,114720
26.09.2018,114720,114730,114690,114690
26.09.2018,114690,114740,114690,114730
26.09.2018,114740,114740,114720,114730
26.09.2018,114720,114730,114690,114720
26.09.2018,114720,114750,114720,114750
26.09.2018,114750,114770,114740,114760
26.09.2018,114770,114770,114720,114730
26.09.2018,114730,114760,114730,114730
26.09.2018,114730,114730,114710,114710
26.09.2018,114710,114710,114680,114700
26.09.2018,114690,114700,114660,114670
26.09.2018,114670,114680,114660,114680
26.09.2018,114680,114680,114650,114660
26.09.2018,114660,114680,114640,114650
26.09.2018,114660,114690,114650,114680
26.09.2018,114680,114700,114660,114680
26.09.2018,114690,114690,114650,114670
26.09.2018,114660,114690,114660,114680
26.09.2018,114670,114670,114630,114630
26.09.2018,114640,114640,114610,114620
26.09.2018,114620,114670,114610,114640
26.09.2018,114640,114660,114640,114660
26.09.2018,114660,114660,114610,114640
26.09.2018,114640,114640,114620,114640
26.09.2018,114650,114650,114620,114630
26.09.2018,114630,114640,114610,114640
26.09.2018,114630,114650,114620,114640
26.09.2018,114630,114650,114620,114630
26.09.2018,114630,114680,114630,114680
26.09.2018,114680,114690,114660,114670
26.09.2018,114670,114680,114640,114660
26.09.2018,114660,114680,114640,114660
26.09.2018,114660,114670,114620,114640
26.09.2018,114620,114660,114620,114650
26.09.2018,114660,114680,114660,114670
26.09.2018,114680,114690,114640,114650
26.09.2018,114650,114650,114610,114610
26.09.2018,114610,114640,114610,114640
26.09.2018,114640,114640,114620,114640
26.09.2018,114640,114660,114600,114600
26.09.2018,114600,114620,114520,114520
26.09.2018,114520,114530,114400,114420
26.09.2018,114410,114420,114370,114380
26.09.2018,114370,114470,114360,114440
26.09.2018,114440,114510,114440,114500
26.09.2018,114510,114510,114440,114470
26.09.2018,114460,114510,114460,114500
26.09.2018,114490,114550,114480,114530
26.09.2018,114520,114540,114500,114500
26.09.2018,114510,114520,114480,114490
26.09.2018,114490,114500,114440,114450
26.09.2018,114460,114500,114460,114480
26.09.2018,114480,114480,114430,114440
26.09.2018,114430,114450,114390,114400
26.09.2018,114410,114420,114380,114420
26.09.2018,114420,114430,114400,114420
26.09.2018,114430,114440,114420,114430
26.09.2018,114420,114430,114360,114370
26.09.2018,114360,114400,114320,114390
26.09.2018,114390,114440,114380,114410
26.09.2018,114410,114440,114400,114440
26.09.2018,114420,114440,114410,114420
26.09.2018,114430,114440,114390,114390
26.09.2018,114400,114400,114330,114330
26.09.2018,114340,114380,114320,114380
26.09.2018,114380,114390,114360,114390
26.09.2018,114380,114400,114360,114380
26.09.2018,114370,114380,114350,114350
26.09.2018,114350,114350,114290,114300
26.09.2018,114320,114370,114300,114350
26.09.2018,114350,114350,114300,114310
26.09.2018,114300,114340,114300,114330
26.09.2018,114320,114340,114310,114320
26.09.2018,114320,114330,114280,114300
26.09.2018,114290,114320,114280,114300
26.09.2018,114310,114340,114300,114320
26.09.2018,114330,114340,114300,114310
26.09.2018,114310,114330,114280,114330
26.09.2018,114320,114320,114290,114320
26.09.2018,114320,114320,114250,114250
26.09.2018,114250,114310,114230,114290
26.09.2018,114280,114300,114270,114290
26.09.2018,114310,114310,114240,114260
